Name Of Dishes,Calories
Tortilla with veggie - (1 serving ) ,170 
Breakfast Burrito - (1 serving ) ,305 
Chocolate chip pancakes - (1 serving ) ,280 
Waffles with Ricotta - (1 serving ) ,461 
Veggie Salad 1 Bowl,65 
Hummus Toast  - (1 serving ) ,320 
Fruit and Maple Oatmeal - (1 serving ) ,320 
Hummus and tomato toast - (1 serving ) ,300 
Stuffed Bagel 1 mini serving,240 
Veg Sausage Burrito - (1 serving ) ,250 
Belgian Waffle - (1 serving ) ,310 
Pancake Platter - (1 serving ) ,236 
Multigrain Bread - (1 serving ) ,265 
 Chia yogurt Bowl - (1 serving )(15g),198 
Lemon Pancakes - (1 serving )(15g),205 
Simple Vegan Munglet - (1 serving ) ,232 
Microwave Mini sandwich - (1 serving )(17g),262 
Golden Tofu scramble - (1 serving ) ,228 
Baked veg cups - (1 serving ) ,108 
green pea pancakes - (1 serving ) ,97 
Methi Oats Roti - (1 serving ) ,95 
Appe with veggie - (1 serving )(4 balls),96 
Buckwheat Dhokla - (1 serving )(4pcs),116 
Sprouts wrap - (1 serving ) ,114 
veg Porridge - (1 serving ) ,103 
pepper cheese with avocado salsa - (1 serving ) ,285 
Rice waffles with hash browns - (1 serving )(1pcs),400 
Macroni salad - (1 serving ) ,371 
Spinach tofu tacos - (1 serving(2pcs)),505 
Black Bean & Slaw Bagel - (1 serving ) ,374 
Migas with Spinach - (1 bowl),278 
Chickpea & Kale Toast - (1 serving()2pcs),400 
Quiche Lorraine - (1 serving ) ,540 
Cauliflower Hash with veggies - (1 serving ) ,50 
"Instant tofu & Cheese ""Bake""" - (1 serving ) ,125 
Broccoli-Cheddar Quiche  - (1 serving ) ,220 
Spinach-Avocado Smoothie - (1 serving ) ,400 
Avocado & Arugula munglet - (1 serving ) ,350 
Mozzarella & Basil toast  - (1 serving ) ,240 
Oatmeal Muffins  - (1 serving ) ,150 
Crustless Broccoli Quiche - (1 serving ) ,250 
Flax Bread - (1 serving ) ,210 
Broccoli and Cheese Quiche - (1 serving ) ,250 
Cinnamon Pumpkin Muffins - (1 serving ) ,133 
Quiche Muffins - (1 serving ) ,130 
Banana Bran Muffins - (1 serving ) ,92 
Cream Cheese Biscuit - (1 serving ) ,400 
Baked Pumpkin Custard - (1 serving ) ,100 
Cheddar Muffins  - (1 serving ) ,162 
Zesty Stuffed Portabella Mushrooms  - (1 serving ) ,183 
Lemon Ricotta Pancakes - (1 serving ) ,150 
Peanut Butter Raisin Cereal Bars  - (1 serving ) ,200 
Pizza Muffins - (1 serving ) ,200 
Orange Cranberry Muffin  - (1 serving ) ,450 
Mixed Berry Smoothie with Flax Seed - (1 serving ) ,192 
Pumpkin Waffles - (1 serving ) ,183 
Raspberry Corn Muffins - (1 serving ) ,150 
Onion paratha - (1 serving ) ,158 
Onion-Cheese Quiche - (1 serving ) ,393 
Oatmeal Bake - (1 serving ) ,68 
�Granola Bars  - (1 serving ) ,100 
Yogurt Waffles - (1 serving ) ,81 
Apple Apricot Delight - (1 serving ) ,150 
Cheese Grits  - (1 serving ) ,60 
Sweet Potato Home Fries - (1 serving ) ,100 
Scallion Bread  - (1 serving ) ,143 
Waffle - (1 serving ) ,291 
Cottage Cheese Bowl - (1 serving ) ,100 
Paneer parantha - (1 serving ) ,234 
Tofu Scramble - (1 serving ) ,76 
Cereal Bowl - (1 serving ) ,105 
Almond Butter Crackers - (1 serving ) ,614 
muesli with chia seeds - (1 serving )(220 g),290 
Bread butter - (1 serving ) ,717 
Methi parantha - (1 serving ) ,200 
Black Bean Quesadillas - (1 serving ) ,210 
Loaded bell peppers - (1 serving ) ,345 
